,Area,Section,Field,Var,Cat,Age,Ha,T/Cane,TCH,TCHM,Month Cut,Year,Date Cut
,2,19,1904,NCo376,1,11.21,19.4,2416.076,124.54,11.109723461195362,September,1995.0,12/09/1995
,3,62,6320,NCo376,1,11.21,14.9,1788,120.0,10.70472792149866,May,1995.0,27/05/1995
,3,62,6305,NCo376,1,11.24,14.5,1966.055,135.59,12.063167259786477,May,1995.0,31/05/1995
,3,66,6612,NCo376,1,11.24,12.9,1751.0460000000003,135.74,12.076512455516015,June,1995.0,21/06/1995
,2,18,1824,NCo376,1,11.27,12.5,1222,97.76,8.67435669920142,August,1995.0,11/08/1995
,3,66,6613,NCo376,1,11.27,6.1,782.996,128.36,11.389529724933453,June,1995.0,24/06/1995
,1,6,0616,NCo376,2,11.37,5.8,488.012,84.14,7.400175901495163,October,1995.0,26/10/1995
,3,65,6540,NCo376,1,11.37,8.5,1187.025,139.65,12.282321899736148,June,1995.0,06/06/1995
,3,65,6546,NCo376,1,11.37,10.4,1337.96,128.65,11.31486367634125,June,1995.0,30/06/1995
,3,65,6544,NCo376,1,11.4,9.9,1158.003,116.96999999999998,10.260526315789471,June,1995.0,28/06/1995
,1,25,2525,NCo376,P,11.44,14.5,1586.01,109.38,9.561188811188812,July,1995.0,10/07/1995
,3,62,6215,NCo376,1,11.44,14.5,1907.0400000000002,131.52,11.496503496503498,May,1995.0,29/05/1995
,2,19,1901,NCo376,1,11.5,20.1,2447.9790000000003,121.79,10.590434782608696,November,1995.0,23/11/1995
,1,2,0241,NCo376,2,11.53,12.3,321.03000000000003,26.1,2.263660017346054,November,1995.0,07/11/1995
,3,65,6541,NCo376,1,11.53,21.3,3216.9390000000003,151.03,13.09887250650477,May,1995.0,31/05/1995
,3,62,6318,NCo376,1,11.57,7.9,1031.977,130.63,11.290406222990493,June,1995.0,20/06/1995
,3,62,6326,NCo376,1,11.57,10.6,1336.9779999999998,126.13,10.901469317199654,June,1995.0,26/06/1995
,3,65,6535,NCo376,2,11.6,10.1,1031.008,102.08000000000001,8.8,September,1995.0,29/09/1995
,3,65,6533,NCo376,2,11.63,9.2,717.968,78.04,6.710232158211522,October,1995.0,14/10/1995
,1,22,2207,NCo376,1,11.7,9.2,1176.0359999999998,127.83,10.925641025641026,October,1995.0,28/10/1995
,2,19,1902,NCo376,1,11.7,19.4,2406.9579999999996,124.07,10.604273504273504,November,1995.0,29/11/1995
,2,20,2013,NCo376,1,11.7,14.8,1749.064,118.17999999999999,10.1008547008547,June,1995.0,12/06/1995
,2,26,2616,NCo376,1,11.7,14.8,1852.0720000000001,125.14,10.695726495726497,May,1995.0,09/05/1995
,1,24,2406,NCo376,P,11.76,6.2,922.0020000000001,148.71,12.645408163265307,June,1995.0,28/06/1995
,3,62,6224,NCo376,1,11.76,12.1,820.9849999999999,67.85,5.769557823129252,October,1995.0,08/10/1995
,3,62,6315,NCo376,1,11.76,3.8,421.98999999999995,111.05,9.443027210884354,August,1995.0,31/08/1995
,3,65,6510,NCo376,P,11.76,7.3,688.025,94.25,8.014455782312925,November,1995.0,14/11/1995
,1,6,0656,NCo376,2,11.86,23.8,1805.944,75.88,6.397976391231029,December,1995.0,03/12/1995
,2,9,0912,NCo376,1,11.9,13.2,2244,170.0,14.285714285714285,May,1995.0,17/05/1995
,3,61,6111,NCo376,1,11.9,14.5,2083.07,143.66000000000003,12.072268907563027,July,1995.0,20/07/1995
,1,1,0122,NCo376,1,11.99,9.3,461.00100000000003,49.57,4.134278565471226,July,1995.0,18/07/1995
,1,7,0711,NCo376,1,11.99,5.5,374,68.0,5.67139282735613,September,1995.0,05/09/1995
,1,7,0723,NCo376,P,11.99,11.6,1583.052,136.47,11.381984987489574,August,1995.0,03/08/1995
,2,19,1920,NCo376,1,11.99,10.3,1576.003,153.01,12.761467889908255,May,1995.0,14/05/1995
,1,7,0709,NCo376,1,12.03,13.6,889.9839999999999,65.44,5.4397339983374895,August,1995.0,25/08/1995
,1,3,0318,NCo376,1,12.06,7.3,741.023,101.51,8.417081260364842,September,1995.0,02/09/1995
,2,10,1016,NCo376,1,12.06,14,1581.02,112.92999999999999,9.36401326699834,December,1995.0,08/12/1995
,2,10,1024,NCo376,1,12.09,11.4,1694.04,148.6,12.291149710504548,September,1995.0,08/09/1995
,1,3,0322,NCo376,1,12.13,16.8,2064.0480000000002,122.86000000000001,10.12860676009893,August,1995.0,12/08/1995
,1,8,0828,NCo376,1,12.13,14.2,1673.0439999999999,117.82,9.713107996702389,June,1995.0,10/06/1995
,3,61,6119,NCo376,1,12.16,14.7,1281.9869999999999,87.21,7.171874999999999,December,1995.0,15/12/1995
,1,6,0645,NCo376,1,12.29,11.7,1835.028,156.84,12.76159479251424,August,1995.0,28/08/1995
,1,8,0816,NCo376,1,12.32,13.2,1594.956,120.83,9.807629870129869,December,1995.0,18/12/1995
,2,20,2003,NCo376,1,12.32,16.2,2482.002,153.21,12.435876623376624,April,1995.0,05/04/1995
,3,66,6608,NCo376,1,12.36,9.3,1182.03,127.1,10.283171521035598,September,1995.0,25/09/1995
,3,62,6327,NCo376,1,12.39,14.5,1734.055,119.59,9.652138821630347,August,1995.0,09/08/1995
,3,64,6440,NCo376,P,12.39,6.4,692.9920000000001,108.28,8.739305891848264,April,1995.0,26/04/1995
